Category,Message,label,cleaned_message
ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",0.0,"go until jurong point, crazy.. available only in bugis n great world la e buffet... cine there got amore wat..."
ham,Ok lar... Joking wif u oni...,0.0,ok lar... joking wif u oni...
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,1.0,free entry in 2 a wkly comp to win fa cup final tkts 21st may 2005. text fa to 87121 to receive entry question(std txt rate)t&c's apply 08452810075over18's
ham,U dun say so early hor... U c already then say...,0.0,u dun say so early hor... u c already then say...
ham,"Nah I don't think he goes to usf, he lives around here though",0.0,"nah i don't think he goes to usf, he lives around here though"
spam,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv",1.0,"freemsg hey there darling it's been 3 week's now and no word back! i'd like some fun you up for it still? tb ok! xxx std chgs to send, £1.50 to rcv"
ham,Even my brother is not like to speak with me. They treat me like aids patent.,0.0,even my brother is not like to speak with me. they treat me like aids patent.
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,0.0,as per your request 'melle melle (oru minnaminunginte nurungu vettam)' has been set as your callertune for all callers. press *9 to copy your friends callertune
spam,WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,1.0,winner!! as a valued network customer you have been selected to receivea £900 prize reward! to claim call 09061701461. claim code kl341. valid 12 hours only.
spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,1.0,had your mobile 11 months or more? u r entitled to update to the latest colour mobiles with camera for free! call the mobile update co free on 08002986030
ham,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",0.0,"i'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? i've cried enough today."
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",1.0,"six chances to win cash! from 100 to 20,000 pounds txt> csh11 and send to 87575. cost 150p/day, 6days, 16+ tsandcs apply reply hl 4 info"
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",1.0,"urgent! you have won a 1 week free membership in our £100,000 prize jackpot! txt the word: claim to no: 81010 t&c URL lccltd pobox 4403ldnw1a7rw18"
ham,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,0.0,i've been searching for the right words to thank you for this breather. i promise i wont take your help for granted and will fulfil my promise. you have been wonderful and a blessing at all times.
ham,I HAVE A DATE ON SUNDAY WITH WILL!!,0.0,i have a date on sunday with will!!
spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",1.0,"xxxmobilemovieclub: to use your credit, click the wap link in the next txt message or click here>> URL xxxmobilemovieclub.com?n=qjkgighjjgcbl"
ham,Oh k...i'm watching here:),0.0,oh k...i'm watching here:)
ham,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,0.0,eh u remember how 2 spell his name... yes i did. he v naughty make until i v wet.
ham,Fine if thats the way u feel. Thats the way its gota b,0.0,fine if thats the way u feel. thats the way its gota b
spam,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+",1.0,"england v macedonia - dont miss the goals/team news. txt ur national team to 87077 eg england to 87077 try:wales, scotland 4txt/ú1.20 poboxox36504w45wq 16+"
ham,Is that seriously how you spell his name?,0.0,is that seriously how you spell his name?
ham,I‘m going to try for 2 months ha ha only joking,0.0,i‘m going to try for 2 months ha ha only joking
ham,So ü pay first lar... Then when is da stock comin...,0.0,so ü pay first lar... then when is da stock comin...
ham,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,0.0,aft i finish my lunch then i go str down lor. ard 3 smth lor. u finish ur lunch already?
ham,Ffffffffff. Alright no way I can meet up with you sooner?,0.0,ffffffffff. alright no way i can meet up with you sooner?
ham,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,0.0,just forced myself to eat a slice. i'm really not hungry tho. this sucks. mark is getting worried. he knows i'm sick when i turn down pizza. lol
ham,Lol your always so convincing.,0.0,lol your always so convincing.
ham,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,0.0,did you catch the bus ? are you frying an egg ? did you make a tea? are you eating your mom's left over dinner ? do you feel my love ?
ham,"I'm back &amp; we're packing the car now, I'll let you know if there's room",0.0,"i'm back &amp; we're packing the car now, i'll let you know if there's room"
ham,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,0.0,ahhh. work. i vaguely remember that! what does it feel like? lol
